Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,,,,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
traditional-intuition-protection-mist,Traditional - Intuition - Protection Mist,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Protection Mist, Scent: Intuition",true,Size,13,#VALUE!,25,25,Traditional,Protection_Mist,Intuition,60ml,,,,,Traditional - Intuition - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Intuition - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
traditional-intuition-protection-mist,,,,,,,,13,#VALUE!,25,25,Traditional,Protection_Mist,Intuition,120ml,,,,,Traditional - Intuition - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-keep-calm-and-transmute-protection-mist,Traditional - Keep Calm And Transmute - Protection Mist,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Protection Mist, Scent: Keep Calm And Transmute",true,Size,13,#VALUE!,39,39,Traditional,Protection_Mist,Keep_Calm_And_Transmute,60ml,,,,,Traditional - Keep Calm And Transmute - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Keep Calm And Transmute - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
traditional-keep-calm-and-transmute-protection-mist,,,,,,,,13,#VALUE!,39,39,Traditional,Protection_Mist,Keep_Calm_And_Transmute,120ml,,,,,Traditional - Keep Calm And Transmute - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-lavender-protection-mist,Traditional - Lavender - Protection Mist,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Protection Mist, Scent: Lavender",true,Size,13,#VALUE!,24,24,Traditional,Protection_Mist,Lavender,60ml,,,,,Traditional - Lavender - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Lavender - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
traditional-lavender-protection-mist,,,,,,,,13,#VALUE!,24,24,Traditional,Protection_Mist,Lavender,120ml,,,,,Traditional - Lavender - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-lime-protection-mist,Traditional - Lime - Protection Mist,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Protection Mist, Scent: Lime",true,Size,13,#VALUE!,20,20,Traditional,Protection_Mist,Lime,60ml,,,,,Traditional - Lime - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Lime - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
traditional-lime-protection-mist,,,,,,,,13,#VALUE!,20,20,Traditional,Protection_Mist,Lime,120ml,,,,,Traditional - Lime - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-master-zing-protection-mist,Traditional - Master Zing - Protection Mist,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Protection Mist, Scent: Master Zing",true,Size,13,#VALUE!,27,27,Traditional,Protection_Mist,Master_Zing,60ml,,,,,Traditional - Master Zing - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Master Zing - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
traditional-master-zing-protection-mist,,,,,,,,13,#VALUE!,27,27,Traditional,Protection_Mist,Master_Zing,120ml,,,,,Traditional - Master Zing - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
