Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,,,,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
master-cleanse-hand-of-the-earth-protection-mist,Master Cleanse - Hand of the Earth - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Hand of the Earth",true,Size,16,#VALUE!,36,36,Master_Cleanse,Protection_Mist,Hand_of_the_Earth,60ml,,,,,Master Cleanse - Hand of the Earth - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Hand of the Earth - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-hand-of-the-earth-protection-mist,,,,,,,,16,#VALUE!,36,36,Master_Cleanse,Protection_Mist,Hand_of_the_Earth,120ml,,,,,Master Cleanse - Hand of the Earth - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-heartbeat-meditation-protection-mist,Master Cleanse - Heartbeat Meditation - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Heartbeat Meditation",true,Size,16,#VALUE!,39,39,Master_Cleanse,Protection_Mist,Heartbeat_Meditation,60ml,,,,,Master Cleanse - Heartbeat Meditation - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Heartbeat Meditation - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-heartbeat-meditation-protection-mist,,,,,,,,16,#VALUE!,39,39,Master_Cleanse,Protection_Mist,Heartbeat_Meditation,120ml,,,,,Master Cleanse - Heartbeat Meditation - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-hormonal-balance-protection-mist,Master Cleanse - Hormonal Balance - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Hormonal Balance",true,Size,16,#VALUE!,35,35,Master_Cleanse,Protection_Mist,Hormonal_Balance,60ml,,,,,Master Cleanse - Hormonal Balance - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Hormonal Balance - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-hormonal-balance-protection-mist,,,,,,,,16,#VALUE!,35,35,Master_Cleanse,Protection_Mist,Hormonal_Balance,120ml,,,,,Master Cleanse - Hormonal Balance - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-love-my-life-protection-mist,Master Cleanse - Love My Life - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Love My Life",true,Size,16,#VALUE!,31,31,Master_Cleanse,Protection_Mist,Love_My_Life,60ml,,,,,Master Cleanse - Love My Life - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Love My Life - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-love-my-life-protection-mist,,,,,,,,16,#VALUE!,31,31,Master_Cleanse,Protection_Mist,Love_My_Life,120ml,,,,,Master Cleanse - Love My Life - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-mind-body-release-protection-mist,Master Cleanse - Mind/Body Release - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Mind Body Release",true,Size,16,#VALUE!,36,36,Master_Cleanse,Protection_Mist,Mind_Body_Release,60ml,,,,,Master Cleanse - Mind Body Release - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Mind/Body Release - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-mind-body-release-protection-mist,,,,,,,,16,#VALUE!,36,36,Master_Cleanse,Protection_Mist,Mind_Body_Release,120ml,,,,,Master Cleanse - Mind Body Release - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
