Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,,,,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
master-cleanse-mirror-lotion,Master Cleanse - Mirror - Lotion,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Lotion, Scent: Mirror",true,Size,16,#VALUE!,25,25,Master_Cleanse,Lotion,Mirror,60ml,,,,,Master Cleanse - Mirror - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Mirror - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-mirror-lotion,,,,,,,,16,#VALUE!,25,25,Master_Cleanse,Lotion,Mirror,120ml,,,,,Master Cleanse - Mirror - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-physical-body-lotion,Master Cleanse - Physical Body - Lotion,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Lotion, Scent: Physical Body",true,Size,16,#VALUE!,32,32,Master_Cleanse,Lotion,Physical_Body,60ml,,,,,Master Cleanse - Physical Body - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Physical Body - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-physical-body-lotion,,,,,,,,16,#VALUE!,32,32,Master_Cleanse,Lotion,Physical_Body,120ml,,,,,Master Cleanse - Physical Body - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-psychic-protection-lotion,Master Cleanse - Psychic Protection - Lotion,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Lotion, Scent: Psychic Protection",true,Size,16,#VALUE!,37,37,Master_Cleanse,Lotion,Psychic_Protection,60ml,,,,,Master Cleanse - Psychic Protection - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Psychic Protection - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-psychic-protection-lotion,,,,,,,,16,#VALUE!,37,37,Master_Cleanse,Lotion,Psychic_Protection,120ml,,,,,Master Cleanse - Psychic Protection - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-sexual-healing-lotion,Master Cleanse - Sexual Healing - Lotion,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Lotion, Scent: Sexual Healing",true,Size,16,#VALUE!,33,33,Master_Cleanse,Lotion,Sexual_Healing,60ml,,,,,Master Cleanse - Sexual Healing - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Sexual Healing - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-sexual-healing-lotion,,,,,,,,16,#VALUE!,33,33,Master_Cleanse,Lotion,Sexual_Healing,120ml,,,,,Master Cleanse - Sexual Healing - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-shaman-lotion,Master Cleanse - Shaman - Lotion,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Lotion, Scent: Shaman",true,Size,16,#VALUE!,25,25,Master_Cleanse,Lotion,Shaman,60ml,,,,,Master Cleanse - Shaman - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Shaman - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-shaman-lotion,,,,,,,,16,#VALUE!,25,25,Master_Cleanse,Lotion,Shaman,120ml,,,,,Master Cleanse - Shaman - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-sol-warrior-lotion,Master Cleanse - Sol-Warrior - Lotion,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Lotion, Scent: Sol-Warrior",true,Size,16,30,21,30,Master_Cleanse,Lotion,Sol-Warrior,60ml,,,,,Master Cleanse - Sol-Warrior - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Sol-Warrior - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-sol-warrior-lotion,,,,,,,,16,30,21,30,Master_Cleanse,Lotion,Sol-Warrior,120ml,,,,,Master Cleanse - Sol-Warrior - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-soul-strings-the-key-lotion,Master Cleanse - Soul Strings - The Key - Lotion,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Lotion, Scent: Soul Strings - The Key",true,Size,16,41,31,41,Master_Cleanse,Lotion,Soul_Strings_-_The_Key,60ml,,,,,Master Cleanse - Soul Strings - The Key - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Soul Strings - The Key - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-soul-strings-the-key-lotion,,,,,,,,16,41,31,41,Master_Cleanse,Lotion,Soul_Strings_-_The_Key,120ml,,,,,Master Cleanse - Soul Strings - The Key - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-spirit-soul-retrieval-lotion,Master Cleanse - Spirit/Soul Retrieval - Lotion,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Lotion, Scent: Spirit Soul Retrieval",true,Size,16,#VALUE!,40,40,Master_Cleanse,Lotion,Spirit_Soul_Retrieval,60ml,,,,,Master Cleanse - Spirit Soul Retrieval - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Spirit/Soul Retrieval - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-spirit-soul-retrieval-lotion,,,,,,,,16,#VALUE!,40,40,Master_Cleanse,Lotion,Spirit_Soul_Retrieval,120ml,,,,,Master Cleanse - Spirit Soul Retrieval - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-surrender-lotion,Master Cleanse - Surrender - Lotion,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Lotion, Scent: Surrender",true,Size,16,#VALUE!,28,28,Master_Cleanse,Lotion,Surrender,60ml,,,,,Master Cleanse - Surrender - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Surrender - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-surrender-lotion,,,,,,,,16,#VALUE!,28,28,Master_Cleanse,Lotion,Surrender,120ml,,,,,Master Cleanse - Surrender - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-the-lovers-lotion,Master Cleanse - The Lovers - Lotion,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Lotion, Scent: The Lovers",true,Size,16,#VALUE!,29,29,Master_Cleanse,Lotion,The_Lovers,60ml,,,,,Master Cleanse - The Lovers - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - The Lovers - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-the-lovers-lotion,,,,,,,,16,#VALUE!,29,29,Master_Cleanse,Lotion,The_Lovers,120ml,,,,,Master Cleanse - The Lovers - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-traveller-shaman-2.0-lotion,Master Cleanse - Traveller - Shaman 2.0 - Lotion,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Lotion, Scent: Traveller - Shaman 2.0",true,Size,16,41,28,41,Master_Cleanse,Lotion,Traveller_-_Shaman_2.0,60ml,,,,,Master Cleanse - Traveller - Shaman 2.0 - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Traveller - Shaman 2.0 - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-traveller-shaman-2.0-lotion,,,,,,,,16,41,28,41,Master_Cleanse,Lotion,Traveller_-_Shaman_2.0,120ml,,,,,Master Cleanse - Traveller - Shaman 2.0 - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
