Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
${Blend.Line}-${Blend.Title}-${Product.Title},${Blend.Line} - ${Blend.Title} - ${Product.Title} ,${ (Blend.Description ? Blend.Description : (Blend.Subtitle_1 ? Blend.Subtitle_1 + ‘. ’ + (Blend.Subtitle_2 ? Blend.Subtitle_2 + ‘.’))) },Wild Woman Medicine Show,product,"Line: ${Blend.Line}, Blend: ${Blend.Title}, Product: ${Product.Title}",true,Size,100g,,,,,${Blend.Line} - ${Blend.Title} - ${Product.Title}  - ${Variant[‘Option1 Value’]},100,,0,deny,manual,6,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_${Product.Title}_-_${Variant[‘Option1 Value’]}_-_${Blend.Line}_-_${Blend.Title}_-_Front.png,1,Traditional - Tantra - Bath Treatment,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_${Product.Title}_-_${Variant[‘Option1 Value’]}_-_${Blend.Line}_-_${Blend.Title}_-_Front.png ,g,,,active
${Blend.Line}-${Blend.Title}-${Product.Title},,,,,,,,250g,,,,,${Blend.Line} - ${Blend.Title} - ${Product.Title}  - ${Variant[‘Option1 Value’]},250,,0,deny,manual,12,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_${Product.Title}_-_${Variant[‘Option1 Value’]}_-_${Blend.Line}_-_${Blend.Title}_-_Front.png ,g,,,active
${Blend.Line}-${Blend.Title}-${Product.Title},,,,,,,,1kg,,,,,${Blend.Line} - ${Blend.Title} - ${Product.Title}  - ${Variant[‘Option1 Value’]},1000,,0,deny,manual,30,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_${Product.Title}_-_${Variant[‘Option1 Value’]}_-_${Blend.Line}_-_${Blend.Title}_-_Front.png ,g,,,active
${Blend.Line}-${Blend.Title}-${Product.Title},,,,,,,,2kg,,,,,${Blend.Line} - ${Blend.Title} - ${Product.Title}  - ${Variant[‘Option1 Value’]},2000,,0,deny,manual,55,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_${Product.Title}_-_${Variant[‘Option1 Value’]}_-_${Blend.Line}_-_${Blend.Title}_-_Front.png ,g,,,active
