Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,,,,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
traditional-intuition-healing-balm,Traditional - Intuition - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Intuition",true,Size,13,#VALUE!,25,25,Traditional,Healing_Balm,Intuition,60ml,,,,,Traditional - Intuition - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Intuition - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-intuition-healing-balm,,,,,,,,13,#VALUE!,25,25,Traditional,Healing_Balm,Intuition,120ml,,,,,Traditional - Intuition - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-keep-calm-and-transmute-healing-balm,Traditional - Keep Calm And Transmute - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Keep Calm And Transmute",true,Size,13,#VALUE!,39,39,Traditional,Healing_Balm,Keep_Calm_And_Transmute,60ml,,,,,Traditional - Keep Calm And Transmute - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Keep Calm And Transmute - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-keep-calm-and-transmute-healing-balm,,,,,,,,13,#VALUE!,39,39,Traditional,Healing_Balm,Keep_Calm_And_Transmute,120ml,,,,,Traditional - Keep Calm And Transmute - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-lavender-healing-balm,Traditional - Lavender - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Lavender",true,Size,13,#VALUE!,24,24,Traditional,Healing_Balm,Lavender,60ml,,,,,Traditional - Lavender - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Lavender - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-lavender-healing-balm,,,,,,,,13,#VALUE!,24,24,Traditional,Healing_Balm,Lavender,120ml,,,,,Traditional - Lavender - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-lime-healing-balm,Traditional - Lime - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Lime",true,Size,13,#VALUE!,20,20,Traditional,Healing_Balm,Lime,60ml,,,,,Traditional - Lime - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Lime - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-lime-healing-balm,,,,,,,,13,#VALUE!,20,20,Traditional,Healing_Balm,Lime,120ml,,,,,Traditional - Lime - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-master-zing-healing-balm,Traditional - Master Zing - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Master Zing",true,Size,13,#VALUE!,27,27,Traditional,Healing_Balm,Master_Zing,60ml,,,,,Traditional - Master Zing - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Master Zing - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-master-zing-healing-balm,,,,,,,,13,#VALUE!,27,27,Traditional,Healing_Balm,Master_Zing,120ml,,,,,Traditional - Master Zing - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
