Brand,Brand_Short,Brand_Subtitle,Line,Title,Description,Subtitle_1,#Subtitle_1_Visible,Subtitle_2,#Subtitle_2_Visible,@Image,Oils
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,All The Orange,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,"mandarin, sweet orange, and five fold orange"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Allspice,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,allspice
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Amber,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,amber
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Aniseed,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,aniseed
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Apple Pie,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,apple pie
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Armoise Mugwort,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,armoise mugwort
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Back Forest,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,back forest
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Bergamot,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,bergamot
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Black Magic,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,black magic
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Black Pepper,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,black pepper
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Cade,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,cade
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Cassia,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,cassia
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Cedar,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,cedar
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Cedarwood,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,cedarwood
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Champagne,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,champagne
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Chocolate,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,chocolate
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Clove Bud,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,clove bud
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Coconut,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,coconut
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Coffee,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,coffee
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Cool Water,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,cool water
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Cotton,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,cotton
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Cypress,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,cypress
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Dragon's Blood,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,dragon's blood
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Elder Rose,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,elder rose
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Eucalyptus,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,eucalyptus
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Five Fold Orange,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,five fold orange
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Frangipani,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,frangipani
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Frankincense,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,frankincense
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Frankincense and Myrrh,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,frankincense and myrrh
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Fuzzy Peach,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,fuzzy peach
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Gardenia,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,gardenia
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Ginger,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,ginger
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Ginger blossom,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,ginger blossom
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Grapefruit,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,grapefruit
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Green Leaves,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,green leaves
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Green Tea,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,green tea
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Hard Candy,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,hard candy
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Hawaiian Ginger,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,hawaiian ginger
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Ho Wood,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,ho wood
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Honey,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,honey
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Honeysuckle,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,honeysuckle
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Huckleberry,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,huckleberry
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Hyssop,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,hyssop
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Island Summer,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,island summer
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Jamaican Spice,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,jamaican spice
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Jamarosa,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,jamarosa
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Japanese Cherry Blossom,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,japanese cherry blossom
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Jasmine,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,jasmine
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Lavender,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,lavender
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Leather & Lace,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,leather & lace
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Lemon,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,lemon
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Lemon Blossom,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,lemon blossom
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Lemongrass,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,lemongrass
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Lily of the Valley,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,lily of the valley
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Lime,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,lime
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Vintage,Litsea Cubeba,,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Vintage/Default.ai,litsea cubeba
