Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,,,,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
traditional-intuition-lotion,,,,,,,,13,#VALUE!,25,25,Traditional,Lotion,Intuition,120ml,,,,,Traditional - Intuition - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-keep-calm-and-transmute-lotion,Traditional - Keep Calm And Transmute - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Lotion, Scent: Keep Calm And Transmute",true,Size,13,#VALUE!,39,39,Traditional,Lotion,Keep_Calm_And_Transmute,60ml,,,,,Traditional - Keep Calm And Transmute - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Keep Calm And Transmute - Lotion,false,,,,,,,,,,,,,,,,,g,,,active
traditional-keep-calm-and-transmute-lotion,,,,,,,,13,#VALUE!,39,39,Traditional,Lotion,Keep_Calm_And_Transmute,120ml,,,,,Traditional - Keep Calm And Transmute - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-lavender-lotion,Traditional - Lavender - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Lotion, Scent: Lavender",true,Size,13,#VALUE!,24,24,Traditional,Lotion,Lavender,60ml,,,,,Traditional - Lavender - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Lavender - Lotion,false,,,,,,,,,,,,,,,,,g,,,active
traditional-lavender-lotion,,,,,,,,13,#VALUE!,24,24,Traditional,Lotion,Lavender,120ml,,,,,Traditional - Lavender - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-lime-lotion,Traditional - Lime - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Lotion, Scent: Lime",true,Size,13,#VALUE!,20,20,Traditional,Lotion,Lime,60ml,,,,,Traditional - Lime - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Lime - Lotion,false,,,,,,,,,,,,,,,,,g,,,active
traditional-lime-lotion,,,,,,,,13,#VALUE!,20,20,Traditional,Lotion,Lime,120ml,,,,,Traditional - Lime - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-master-zing-lotion,Traditional - Master Zing - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Lotion, Scent: Master Zing",true,Size,13,#VALUE!,27,27,Traditional,Lotion,Master_Zing,60ml,,,,,Traditional - Master Zing - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Master Zing - Lotion,false,,,,,,,,,,,,,,,,,g,,,active
traditional-master-zing-lotion,,,,,,,,13,#VALUE!,27,27,Traditional,Lotion,Master_Zing,120ml,,,,,Traditional - Master Zing - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-melissa-lotion,Traditional - Melissa - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Lotion, Scent: Melissa",true,Size,13,#VALUE!,23,23,Traditional,Lotion,Melissa,60ml,,,,,Traditional - Melissa - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Melissa - Lotion,false,,,,,,,,,,,,,,,,,g,,,active
