Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,,,,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
master-cleanse-hand-of-the-earth-healing-balm,Master Cleanse - Hand of the Earth - Healing Balm,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Healing Balm, Scent: Hand of the Earth",true,Size,16,#VALUE!,36,36,Master_Cleanse,Healing_Balm,Hand_of_the_Earth,60ml,,,,,Master Cleanse - Hand of the Earth - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Hand of the Earth - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-hand-of-the-earth-healing-balm,,,,,,,,16,#VALUE!,36,36,Master_Cleanse,Healing_Balm,Hand_of_the_Earth,120ml,,,,,Master Cleanse - Hand of the Earth - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-heartbeat-meditation-healing-balm,Master Cleanse - Heartbeat Meditation - Healing Balm,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Healing Balm, Scent: Heartbeat Meditation",true,Size,16,#VALUE!,39,39,Master_Cleanse,Healing_Balm,Heartbeat_Meditation,60ml,,,,,Master Cleanse - Heartbeat Meditation - Healing Balm - 60ml,60,,0,deny,manual,25,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Heartbeat Meditation - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-heartbeat-meditation-healing-balm,,,,,,,,16,#VALUE!,39,39,Master_Cleanse,Healing_Balm,Heartbeat_Meditation,120ml,,,,,Master Cleanse - Heartbeat Meditation - Healing Balm - 120ml,120,,0,deny,manual,45,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-hormonal-balance-healing-balm,Master Cleanse - Hormonal Balance - Healing Balm,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Healing Balm, Scent: Hormonal Balance",true,Size,16,#VALUE!,35,35,Master_Cleanse,Healing_Balm,Hormonal_Balance,60ml,,,,,Master Cleanse - Hormonal Balance - Healing Balm - 60ml,60,,0,deny,manual,25,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Hormonal Balance - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-hormonal-balance-healing-balm,,,,,,,,16,#VALUE!,35,35,Master_Cleanse,Healing_Balm,Hormonal_Balance,120ml,,,,,Master Cleanse - Hormonal Balance - Healing Balm - 120ml,120,,0,deny,manual,45,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-love-my-life-healing-balm,Master Cleanse - Love My Life - Healing Balm,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Healing Balm, Scent: Love My Life",true,Size,16,#VALUE!,31,31,Master_Cleanse,Healing_Balm,Love_My_Life,60ml,,,,,Master Cleanse - Love My Life - Healing Balm - 60ml,60,,0,deny,manual,25,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Love My Life - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-love-my-life-healing-balm,,,,,,,,16,#VALUE!,31,31,Master_Cleanse,Healing_Balm,Love_My_Life,120ml,,,,,Master Cleanse - Love My Life - Healing Balm - 120ml,120,,0,deny,manual,45,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-mind-body-release-healing-balm,Master Cleanse - Mind/Body Release - Healing Balm,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Healing Balm, Scent: Mind Body Release",true,Size,16,#VALUE!,36,36,Master_Cleanse,Healing_Balm,Mind_Body_Release,60ml,,,,,Master Cleanse - Mind Body Release - Healing Balm - 60ml,60,,0,deny,manual,25,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Mind/Body Release - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-mind-body-release-healing-balm,,,,,,,,16,#VALUE!,36,36,Master_Cleanse,Healing_Balm,Mind_Body_Release,120ml,,,,,Master Cleanse - Mind Body Release - Healing Balm - 120ml,120,,0,deny,manual,45,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-mirror-healing-balm,Master Cleanse - Mirror - Healing Balm,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Healing Balm, Scent: Mirror",true,Size,16,#VALUE!,25,25,Master_Cleanse,Healing_Balm,Mirror,60ml,,,,,Master Cleanse - Mirror - Healing Balm - 60ml,60,,0,deny,manual,25,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Mirror - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-mirror-healing-balm,,,,,,,,16,#VALUE!,25,25,Master_Cleanse,Healing_Balm,Mirror,120ml,,,,,Master Cleanse - Mirror - Healing Balm - 120ml,120,,0,deny,manual,45,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-physical-body-healing-balm,Master Cleanse - Physical Body - Healing Balm,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Healing Balm, Scent: Physical Body",true,Size,16,#VALUE!,32,32,Master_Cleanse,Healing_Balm,Physical_Body,60ml,,,,,Master Cleanse - Physical Body - Healing Balm - 60ml,60,,0,deny,manual,25,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Physical Body - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-physical-body-healing-balm,,,,,,,,16,#VALUE!,32,32,Master_Cleanse,Healing_Balm,Physical_Body,120ml,,,,,Master Cleanse - Physical Body - Healing Balm - 120ml,120,,0,deny,manual,45,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
