Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
master-cleanse-blue-star-bath-treatment,,,,,,,,1kg,,,,,Master Cleanse - Blue Star - Bath Treatment - 1kg,1000,,0,deny,manual,35,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Blue%20Star%20-%20Bath%20Treatment%20-%201kg%20-%20Front.png,g,,,active
master-cleanse-blue-star-bath-treatment,,,,,,,,2kg,,,,,Master Cleanse - Blue Star - Bath Treatment - 2kg,2000,,0,deny,manual,60,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Blue%20Star%20-%20Bath%20Treatment%20-%202kg%20-%20Front.png,g,,,active
master-cleanse-chaos-medicine-bath-treatment,Master Cleanse - Chaos Medicine - Bath Treatment ,"Chaos Medicine is simply the Knowing that Chaos is the way of the Universe. When we attempt to box Chaos into our need for safety and presumed control of our Lives, we begin to cause disharmony and disease. Faith in the Process.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Chaos Medicine, Product: Bath Treatment",true,Size,100g,,,,,Master Cleanse - Chaos Medicine - Bath Treatment - 100g,100,,0,deny,manual,7.5,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Chaos%20Medicine%20-%20Bath%20Treatment%20-%20100g%20-%20Front.png,1,Master Cleanse - Chaos Medicine - Bath Treatment ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Chaos%20Medicine%20-%20Bath%20Treatment%20-%20100g%20-%20Front.png,g,,,active
master-cleanse-chaos-medicine-bath-treatment,,,,,,,,250g,,,,,Master Cleanse - Chaos Medicine - Bath Treatment - 250g,250,,0,deny,manual,15,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Chaos%20Medicine%20-%20Bath%20Treatment%20-%20250g%20-%20Front.png,g,,,active
master-cleanse-chaos-medicine-bath-treatment,,,,,,,,1kg,,,,,Master Cleanse - Chaos Medicine - Bath Treatment - 1kg,1000,,0,deny,manual,35,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Chaos%20Medicine%20-%20Bath%20Treatment%20-%201kg%20-%20Front.png,g,,,active
master-cleanse-chaos-medicine-bath-treatment,,,,,,,,2kg,,,,,Master Cleanse - Chaos Medicine - Bath Treatment - 2kg,2000,,0,deny,manual,60,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Chaos%20Medicine%20-%20Bath%20Treatment%20-%202kg%20-%20Front.png,g,,,active
master-cleanse-community---shaman-2.0-bath-treatment,Master Cleanse - Community - Shaman 2.0 - Bath Treatment ,"Root, Heart, Crown. Spirit Communities evolve at different and sometimes inopportune times. When Open, these communities are a Blessing. Often these groups manifest in a sense of ""All at Once!"" They are an incredible Force of Healing. Spirit Groups build and Raise the World's Energy Exponentially, releasing the next level of Cultural Amnesia.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Community - Shaman 2.0, Product: Bath Treatment",true,Size,100g,,,,,Master Cleanse - Community - Shaman 2.0 - Bath Treatment - 100g,100,,0,deny,manual,7.5,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Community%20-%20Shaman%202.0%20-%20Bath%20Treatment%20-%20100g%20-%20Front.png,1,Master Cleanse - Community - Shaman 2.0 - Bath Treatment ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Community%20-%20Shaman%202.0%20-%20Bath%20Treatment%20-%20100g%20-%20Front.png,g,,,active
master-cleanse-community---shaman-2.0-bath-treatment,,,,,,,,250g,,,,,Master Cleanse - Community - Shaman 2.0 - Bath Treatment - 250g,250,,0,deny,manual,15,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Community%20-%20Shaman%202.0%20-%20Bath%20Treatment%20-%20250g%20-%20Front.png,g,,,active
master-cleanse-community---shaman-2.0-bath-treatment,,,,,,,,1kg,,,,,Master Cleanse - Community - Shaman 2.0 - Bath Treatment - 1kg,1000,,0,deny,manual,35,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Community%20-%20Shaman%202.0%20-%20Bath%20Treatment%20-%201kg%20-%20Front.png,g,,,active
master-cleanse-community---shaman-2.0-bath-treatment,,,,,,,,2kg,,,,,Master Cleanse - Community - Shaman 2.0 - Bath Treatment - 2kg,2000,,0,deny,manual,60,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Community%20-%20Shaman%202.0%20-%20Bath%20Treatment%20-%202kg%20-%20Front.png,g,,,active
master-cleanse-emotional-body-bath-treatment,Master Cleanse - Emotional Body - Bath Treatment ,"Many of us have learned to put away our bigger emotions for some future magical time when it will be easier to deal with them. Feel them. As time passes, the physical body shifts to carry the weight of this old energy. Leading to: sciatica (loss), stiffness (holding back), exhaustion (carrying the weight), inflammation (anger, grief). When we feel in the moment, it can be embarrassing and upsetting for others and that is OK.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Emotional Body, Product: Bath Treatment",true,Size,100g,,,,,Master Cleanse - Emotional Body - Bath Treatment - 100g,100,,0,deny,manual,7.5,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Emotional%20Body%20-%20Bath%20Treatment%20-%20100g%20-%20Front.png,1,Master Cleanse - Emotional Body - Bath Treatment ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Emotional%20Body%20-%20Bath%20Treatment%20-%20100g%20-%20Front.png,g,,,active
master-cleanse-emotional-body-bath-treatment,,,,,,,,250g,,,,,Master Cleanse - Emotional Body - Bath Treatment - 250g,250,,0,deny,manual,15,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Emotional%20Body%20-%20Bath%20Treatment%20-%20250g%20-%20Front.png,g,,,active
master-cleanse-emotional-body-bath-treatment,,,,,,,,1kg,,,,,Master Cleanse - Emotional Body - Bath Treatment - 1kg,1000,,0,deny,manual,35,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Emotional%20Body%20-%20Bath%20Treatment%20-%201kg%20-%20Front.png,g,,,active
master-cleanse-emotional-body-bath-treatment,,,,,,,,2kg,,,,,Master Cleanse - Emotional Body - Bath Treatment - 2kg,2000,,0,deny,manual,60,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Emotional%20Body%20-%20Bath%20Treatment%20-%202kg%20-%20Front.png,g,,,active
master-cleanse-hand-of-the-earth-bath-treatment,Master Cleanse - Hand of the Earth - Bath Treatment ,"The Sacrum is the fulcrum of the physical body. Babies are first held here and behind the neck. We learn to feel safe and secure in this posture supported with a loved one's hand channeling love energy directly into our physical body. There are times where we could really use more support. Visualize the hand of the Earth cupping your sacrum, gently rocking and soothing. Be supported and healed.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Hand of the Earth, Product: Bath Treatment",true,Size,100g,,,,,Master Cleanse - Hand of the Earth - Bath Treatment - 100g,100,,0,deny,manual,7.5,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Hand%20of%20the%20Earth%20-%20Bath%20Treatment%20-%20100g%20-%20Front.png,1,Master Cleanse - Hand of the Earth - Bath Treatment ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Hand%20of%20the%20Earth%20-%20Bath%20Treatment%20-%20100g%20-%20Front.png,g,,,active
master-cleanse-hand-of-the-earth-bath-treatment,,,,,,,,250g,,,,,Master Cleanse - Hand of the Earth - Bath Treatment - 250g,250,,0,deny,manual,15,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Hand%20of%20the%20Earth%20-%20Bath%20Treatment%20-%20250g%20-%20Front.png,g,,,active
master-cleanse-hand-of-the-earth-bath-treatment,,,,,,,,1kg,,,,,Master Cleanse - Hand of the Earth - Bath Treatment - 1kg,1000,,0,deny,manual,35,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Hand%20of%20the%20Earth%20-%20Bath%20Treatment%20-%201kg%20-%20Front.png,g,,,active
master-cleanse-hand-of-the-earth-bath-treatment,,,,,,,,2kg,,,,,Master Cleanse - Hand of the Earth - Bath Treatment - 2kg,2000,,0,deny,manual,60,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Hand%20of%20the%20Earth%20-%20Bath%20Treatment%20-%202kg%20-%20Front.png,g,,,active
master-cleanse-heartbeat-meditation-bath-treatment,Master Cleanse - Heartbeat Meditation - Bath Treatment ,"Hearing and counting the Heartbeat strengthens our connection to the Earth's Energy Frequency. This in turn exponentially builds intuition and empathy. This Practice releases the boundaries of Time and Space that box us into this one Timeline. As Humanity remembers, the Hundredth Monkey Effect  kicks in and we Open to the All One.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Heartbeat Meditation, Product: Bath Treatment",true,Size,100g,,,,,Master Cleanse - Heartbeat Meditation - Bath Treatment - 100g,100,,0,deny,manual,7.5,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Heartbeat%20Meditation%20-%20Bath%20Treatment%20-%20100g%20-%20Front.png,1,Master Cleanse - Heartbeat Meditation - Bath Treatment ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Heartbeat%20Meditation%20-%20Bath%20Treatment%20-%20100g%20-%20Front.png,g,,,active
master-cleanse-heartbeat-meditation-bath-treatment,,,,,,,,250g,,,,,Master Cleanse - Heartbeat Meditation - Bath Treatment - 250g,250,,0,deny,manual,15,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Heartbeat%20Meditation%20-%20Bath%20Treatment%20-%20250g%20-%20Front.png,g,,,active
