Handle,Handle Format,Title,Title Format,Body (HTML),Body (HTML) Format,Vendor,Type,Tags,Tags Format,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant SKU Format,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Src Format,Image Position,Image Alt Text,Image Alt Text Format,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Image Format,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pure-castile-soap,${models.Blend.Line}-${models.Blend.Title}-${models.Product.Title},Pure Castile Soap,${models.Blend.Line} - ${models.Blend.Title} - ${models.Product.Title} ,,${ (models.Blend.Description ? models.Blend.Description : (models.Blend.Subtitle_1 ? models.Blend.Subtitle_1 + '. ' + (models.Blend.Subtitle_2 ? models.Blend.Subtitle_2 + '.' : '') : '')) },Wild Woman Medicine Show,product,,"Line: ${models.Blend.Line}, Blend: ${models.Blend.Title}, Product: ${models.Product.Title}",true,Size,60ml,,,,,,${models.Blend.Line} - ${models.Blend.Title} - ${models.Product.Title}  - ${models.Variant['Option1 Value']},60,,0,deny,manual,18,,true,true,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_${models.Product.Title}_-_${models.Variant['Option1 Value']}_-_${models.Blend.Line}_-_${models.Blend.Title}.png,1,,${models.Blend.Line} - ${models.Blend.Title} - ${models.Product.Title} ,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_${models.Product.Title}_-_${models.Variant['Option1 Value']}_-_${models.Blend.Line}_-_${models.Blend.Title}.png ,g,,,active
pure-castile-soap,${models.Blend.Line}-${models.Blend.Title}-${models.Product.Title},,,,,,,,,,,120ml,,,,,,${models.Blend.Line} - ${models.Blend.Title} - ${models.Product.Title}  - ${models.Variant['Option1 Value']},120,,0,deny,manual,25,,true,true,,,,,,,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_${models.Product.Title}_-_${models.Variant['Option1 Value']}_-_${models.Blend.Line}_-_${models.Blend.Title}.png ,g,,,active
