,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,Product Line,Product Type,Product Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vintage-cedarwood-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Cedarwood_-_Front.png,1,Vintage - Cedarwood - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Cedarwood_-_Front.png,g,,,active
vintage-champagne-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Champagne_-_Front.png,1,Vintage - Champagne - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Champagne_-_Front.png,g,,,active
vintage-chocolate-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Chocolate_-_Front.png,1,Vintage - Chocolate - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Chocolate_-_Front.png,g,,,active
vintage-clove-bud-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Clove_Bud_-_Front.png,1,Vintage - Clove Bud - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Clove_Bud_-_Front.png,g,,,active
vintage-cool-water-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Cool_Water_-_Front.png,1,Vintage - Cool Water - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Cool_Water_-_Front.png,g,,,active
vintage-cotton-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Cotton_-_Front.png,1,Vintage - Cotton - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Cotton_-_Front.png,g,,,active
vintage-cypress-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Cypress_-_Front.png,1,Vintage - Cypress - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Cypress_-_Front.png,g,,,active
vintage-five-fold-orange-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Five_Fold_Orange_-_Front.png,1,Vintage - Five Fold Orange - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Five_Fold_Orange_-_Front.png,g,,,active
vintage-frangipani-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Frangipani_-_Front.png,1,Vintage - Frangipani - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Frangipani_-_Front.png,g,,,active
vintage-fuzzy-peach-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Fuzzy_Peach_-_Front.png,1,Vintage - Fuzzy Peach - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Fuzzy_Peach_-_Front.png,g,,,active
