_id,Line,Title,Description,Subtitle_1,#Subtitle_1_Visible,Subtitle_2,#Subtitle_2_Visible,@Image,Oils,__v
6030ce97332a4c433c2f8bdc,Master Cleanse,Sol-Warrior,"You were born for this. Two Monsters Meeting at the Top of the Mountain The LIGHT and the DARK for generations we have built to this point. Remembering and Awakening to this Time  Humanity's Evolution Candle Burning at Both Ends. Opposite energies burning toward each other over Millennia. The Value of each being equal, it is the disconnect we Heal. Divergent Paths cross. The Balance is in the Middle Time. Some go Left. Some go Right. The Core Builds the New Generation. Grandmas Lead the Way",,,,,,"frankincense, myrhh, palo santo, and lemon with jasmine master essence",0
6030ce97332a4c433c2f8bdd,Master Cleanse,Soul Strings - The Key,"When two or more embrace as: The Other, The One, our Soul Strings open and The Key Turns. A Soul String Connection can occur with a plant, tree, pet, acquaintance, family member, or Lover. Soul Strings run the length of the Body, most times they are white, other times different colours. Each Body has a different configuration, like finger prints. When two Beings line up and sync their strings together there is an experience of an escape from the Physical and the generous melding of the souls. The Key Turns. We are Open, Free, One.",,,,,,"jamarosa, five fold orange, hyssop, frankincense, aniseed, and myrrh",0
6030ce97332a4c433c2f8bde,Master Cleanse,Spirit/Soul Retrieval,"A practice healing trauma. Return to source. Forgive self. Ensure that your Physical Vessel is a safe Haven for your Spirit/Soul. Do the work. Let your self medication, when triggered, be choosing a New Focus/Direction.",,,,,,"frankincense, myrhh, and ylang-ylang",0
6030ce97332a4c433c2f8bdf,Master Cleanse,Surrender,"A Season for Everything. You are exactly where you need to be, doing exactly what you need to do, otherwise, you'd be Somewhere Else doing Something Else. Surrender and Shift Happens. The concept of Spiritual Surrender equals releasing our learning around how Struggle has Value.�""If I am Struggling my Life has Value."" �Releasing Struggle looks like Rolling back and lowering the shoulders from the ears. Release attachment to Drama, let go of connection to life being HARD. It gets simpler and easier.",,,,,,"balsam, five fold orange, lavender, rosewood, and tangerine",0
6030ce97332a4c433c2f8be0,Master Cleanse,The Lovers,"We find human evolution in the care and communication within our Lover relationships. Spirit is lifted as we love ourselves easily and completely. The Love we show ourselves is equal to the Love we show the Other. Coming together as one raises our vibration, heals and restructures the DNA, moving us toward our True expression in this world.",,,,,,"green oak moss, honey, and rose",0
6030ce97332a4c433c2f8be1,Master Cleanse,Traveler - Shaman 3.0,"Release Control. Trust the Process. A Mad Skill we are Remembering is Astral Travel. The ability to transmute daily Life Energy into Interdimensional/Time/Space Travel. As the World's Energy Shifts, this Skill returns. As more Practice, the easier it is for All. The Hundredth Monkey System. We remove barriers of Belief and Attachment to Structure.",,,,,,"wormwood, vetiver, valerian, jasmine, rosewood, lavender, and eucalyptus",0
6030cea5332a4c433c2f8be2,Traditional,Bad Kitty,,The bath your mother,TRUE,warned you about,TRUE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Bad Kitty.ai,"palmarosa, neroli, and wintergreen",0
6030cea5332a4c433c2f8be3,Traditional,Bliss,,Napping in the sun,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Bliss.ai,"rose geranium, ylang-ylang, and peppermint",0
6030cea5332a4c433c2f8be4,Traditional,Detox,,Be prepared to sleep,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Detox.ai,"rosemary, bergamot, ginger, and eucalyptus",0
6030cea5332a4c433c2f8be5,Traditional,"Dragon's Blood",,Focus and direction,TRUE,,FALSE,"file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Dragon's Blood.ai","dragon's blood",0
6030cea5332a4c433c2f8be6,Traditional,Dreamtime,,Find messages in your dreams,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Dreamtime.ai,"wormwood, vetiver, valerian, rosewood, lavender, and eucalyptus",0
6030cea5332a4c433c2f8be7,Traditional,Earth,,Relief of pain and snoring,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Earth.ai,"litsea cubeba, black pepper, pine, and marjoram",0
6030cea5332a4c433c2f8be8,Traditional,Freedom,,Be prepared to sleep,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Freedom.ai,"bergamot, eucalyptus, rosemary and ginger",0
6030cea5332a4c433c2f8be9,Traditional,Intuition,,Improves with practice,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Intuition.ai,"wormwood, vetiver, valerian, rosewood, lavender and eucalyptus",0
6030cea5332a4c433c2f8bea,Traditional,Keep Calm,,And Transmute,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Keep Calm.ai,"black pepper, pine, and marjoram",0
6030cea5332a4c433c2f8beb,Traditional,Lavender,,"Calming, soothing, and relaxing",TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Lavender.ai,"lavender, clary sage, and ylang-ylang",0
6030cea5332a4c433c2f8bec,Traditional,Lime,,Be prepared to clean the tub!,TRUE,Lime removes dead skin,TRUE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Lime.ai,lime,0
6030cea5332a4c433c2f8bed,Traditional,Master Zing,,Be prepared to dance,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Master Zing.ai,"five fold orange, five fold lemon, mandarin, clove, and patchouli",0
6030cea5332a4c433c2f8bee,Traditional,Melissa,,Valium in the bath,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Melissa.ai,melissa,0
6030cea5332a4c433c2f8bef,Traditional,Mint,,Refreshing,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Mint.ai,"peppermint, sweet birch, wintergreen and spearmint",0
6030cea5332a4c433c2f8bf0,Traditional,Nag Champa,,"Love, light, and peace",TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Nag Champa.ai,nag champa,0
6030cea5332a4c433c2f8bf1,Traditional,Namaste,,We greet the best in each other,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Namaste.ai,"peru balsam, five fold orange, mandarin, lavender, and rosewood",0
