Line,Title,Description,Subtitle_1,#Subtitle_1_Visible,Subtitle_2,#Subtitle_2_Visible,@Image,Oils,__v
Vintage,Sandalwood,,,FALSE,,FALSE,,sandalwood,0
Vintage,Spearmint,,,FALSE,,FALSE,,Spearmint,0
Vintage,Spring Magnolia,,,FALSE,,FALSE,,Spring Magnolia,0
Vintage,Sweet Birch,,,FALSE,,FALSE,,Sweet Birch,0
Vintage,Sweet Orange,,,FALSE,,FALSE,,Sweet Orange,0
Vintage,Sweet Pea,,,FALSE,,FALSE,,sweet pea,0
Vintage,Sweetgrass,,,FALSE,,FALSE,,sweetgrass,0
Vintage,Tea Tree,,,FALSE,,FALSE,,Tea Tree,0
Vintage,Temptation,,,FALSE,,FALSE,,Temptation,0
Vintage,Vanilla,,,FALSE,,FALSE,,vanilla,0
Vintage,Vetiver,,,FALSE,,FALSE,,Vetiver,0
Vintage,Violet,,,FALSE,,FALSE,,violet,0
Vintage,Water Crystal,,,FALSE,,FALSE,,Water Crystal,0
Vintage,White Rose,,,FALSE,,FALSE,,White Rose,0
Vintage,White Tea and Ginger,,,FALSE,,FALSE,,white tea and ginger,0
Vintage,Wild Rose,,,FALSE,,FALSE,,wild rose,0
Vintage,Winter,,,FALSE,,FALSE,,Winter,0
Vintage,Wintergreen,,,FALSE,,FALSE,,wintergreen,0
Vintage,Wormwood,,,FALSE,,FALSE,,Wormwood,0
Vintage,Yarrow,,,FALSE,,FALSE,,Yarrow,0
Vintage,Ylang Ylang,,,FALSE,,FALSE,,Ylang Ylang,0
