Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
master-cleanse-shaman-bath-treatment,,,,,,,,2kg,,,,,Master Cleanse - Shaman - Bath Treatment - 2kg,2000,,0,deny,manual,60,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_2kg_-_Master_Cleanse_-_Shaman_-_Front.png,g,,,active
master-cleanse-emotional-body-bath-treatment,Master Cleanse - Emotional Body - Bath Treatment,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Bath Treatment, Scent: Emotional Body",true,Size,100g,,,,,Master Cleanse - Emotional Body - Bath Treatment - 100g,100,,0,deny,manual,7.6,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Master_Cleanse_-_Emotional_Body_-_Front.png,1,Master Cleanse - Emotional Body - Bath Treatment,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Master_Cleanse_-_Emotional_Body_-_Front.png,g,,,active
master-cleanse-emotional-body-bath-treatment,,,,,,,,250g,,,,,Master Cleanse - Emotional Body - Bath Treatment - 250g,250,,0,deny,manual,15,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_250g_-_Master_Cleanse_-_Emotional_Body_-_Front.png,g,,,active
master-cleanse-emotional-body-bath-treatment,,,,,,,,1kg,,,,,Master Cleanse - Emotional Body - Bath Treatment - 1kg,1000,,0,deny,manual,35,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_1kg_-_Master_Cleanse_-_Emotional_Body_-_Front.png,g,,,active
master-cleanse-emotional-body-bath-treatment,,,,,,,,2kg,,,,,Master Cleanse - Emotional Body - Bath Treatment - 2kg,2000,,0,deny,manual,60,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_2kg_-_Master_Cleanse_-_Emotional_Body_-_Front.png,g,,,active
master-cleanse-sexual-healing-bath-treatment,Master Cleanse - Sexual Healing - Bath Treatment,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Bath Treatment, Scent: Sexual Healing",true,Size,100g,,,,,Master Cleanse - Sexual Healing - Bath Treatment - 100g,100,,0,deny,manual,7.5,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Master_Cleanse_-_Sexual_Healing_-_Front.png,1,Master Cleanse - Sexual Healing - Bath Treatment,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Master_Cleanse_-_Sexual_Healing_-_Front.png,g,,,active
master-cleanse-sexual-healing-bath-treatment,,,,,,,,250g,,,,,Master Cleanse - Sexual Healing - Bath Treatment - 250g,250,,0,deny,manual,15,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_250g_-_Master_Cleanse_-_Sexual_Healing_-_Front.png,g,,,active
master-cleanse-sexual-healing-bath-treatment,,,,,,,,1kg,,,,,Master Cleanse - Sexual Healing - Bath Treatment - 1kg,1000,,0,deny,manual,35,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_1kg_-_Master_Cleanse_-_Sexual_Healing_-_Front.png,g,,,active
master-cleanse-sexual-healing-bath-treatment,,,,,,,,2kg,,,,,Master Cleanse - Sexual Healing - Bath Treatment - 2kg,2000,,0,deny,manual,60,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_2kg_-_Master_Cleanse_-_Sexual_Healing_-_Front.png,g,,,active
master-cleanse-beauty-and-truth-bath-treatment,Master Cleanse - Beauty and Truth - Bath Treatment,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Bath Treatment, Scent: Beauty and Truth",true,Size,100g,,,,,Master Cleanse - Beauty and Truth - Bath Treatment - 100g,100,,0,deny,manual,7.5,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Master_Cleanse_-_Beauty_and_Truth_-_Front.png,1,Master Cleanse - Beauty and Truth - Bath Treatment,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Master_Cleanse_-_Beauty_and_Truth_-_Front.png,g,,,active
master-cleanse-beauty-and-truth-bath-treatment,,,,,,,,250g,,,,,Master Cleanse - Beauty and Truth - Bath Treatment - 250g,250,,0,deny,manual,15,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_250g_-_Master_Cleanse_-_Beauty_and_Truth_-_Front.png,g,,,active
master-cleanse-beauty-and-truth-bath-treatment,,,,,,,,1kg,,,,,Master Cleanse - Beauty and Truth - Bath Treatment - 1kg,1000,,0,deny,manual,35,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_1kg_-_Master_Cleanse_-_Beauty_and_Truth_-_Front.png,g,,,active
