Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
traditional-sage-bath-treatment,Traditional - Sage - Bath Treatment,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Bath Treatment, Scent: Sage",true,Size,100g,,,,,Traditional - Sage - Bath Treatment - 100g,100,,0,deny,manual,6,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Traditional_-_Sage_-_Front.png,1,Traditional - Sage - Bath Treatment,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Traditional_-_Sage_-_Front.png,g,,,active
traditional-sage-bath-treatment,,,,,,,,250g,,,,,Traditional - Sage - Bath Treatment - 250g,250,,0,deny,manual,12,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_250g_-_Traditional_-_Sage_-_Front.png,g,,,active
traditional-sage-bath-treatment,,,,,,,,1kg,,,,,Traditional - Sage - Bath Treatment - 1kg,1000,,0,deny,manual,30,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_1kg_-_Traditional_-_Sage_-_Front.png,g,,,active
traditional-mint-bath-treatment,Traditional - Mint - Bath Treatment,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Bath Treatment, Scent: Mint",true,Size,100g,,,,,Traditional - Mint - Bath Treatment - 100g,100,,0,deny,manual,6,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Traditional_-_Mint_-_Front.png,1,Traditional - Mint - Bath Treatment,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Traditional_-_Mint_-_Front.png,g,,,active
traditional-mint-bath-treatment,,,,,,,,250g,,,,,Traditional - Mint - Bath Treatment - 250g,250,,0,deny,manual,12,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_250g_-_Traditional_-_Mint_-_Front.png,g,,,active
traditional-mint-bath-treatment,,,,,,,,1kg,,,,,Traditional - Mint - Bath Treatment - 1kg,1000,,0,deny,manual,30,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_1kg_-_Traditional_-_Mint_-_Front.png,g,,,active
traditional-melissa-bath-treatment,Traditional - Melissa - Bath Treatment,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Bath Treatment, Scent: Melissa",true,Size,100g,,,,,Traditional - Melissa - Bath Treatment - 100g,100,,0,deny,manual,6,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Traditional_-_Melissa_-_Front.png,1,Traditional - Melissa - Bath Treatment,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Traditional_-_Melissa_-_Front.png,g,,,active
traditional-melissa-bath-treatment,,,,,,,,250g,,,,,Traditional - Melissa - Bath Treatment - 250g,250,,0,deny,manual,12,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_250g_-_Traditional_-_Melissa_-_Front.png,g,,,active
traditional-melissa-bath-treatment,,,,,,,,1kg,,,,,Traditional - Melissa - Bath Treatment - 1kg,1000,,0,deny,manual,30,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_1kg_-_Traditional_-_Melissa_-_Front.png,g,,,active
traditional-master-zing-bath-treatment,Traditional - Master Zing - Bath Treatment,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Bath Treatment, Scent: Master Zing",true,Size,100g,,,,,Traditional - Master Zing - Bath Treatment - 100g,100,,0,deny,manual,6,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Traditional_-_Master_Zing_-_Front.png,1,Traditional - Master Zing - Bath Treatment,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Traditional_-_Master_Zing_-_Front.png,g,,,active
